,Name,Year,ID,Rating,Complexity,Overall Rank,Plays Last Month,Owns,Wants,Wishlists,Abstract Rank,Customizable Rank,Thematic Rank,Family Rank,Children Rank,Party Rank,Strategy Rank,War Rank
0,Brass: Birmingham,2018,224517,8.41705,3.8836,1,1703,61495,1735,17615,,,,,,,1.0,
1,Pandemic Legacy: Season 1,2015,161936,8.38317,2.8317,2,823,82267,813,13567,,,1.0,,,,2.0,
2,Gloomhaven,2017,174430,8.36184,3.9072,3,1934,96001,1193,20184,,,2.0,,,,4.0,
3,Ark Nova,2021,342942,8.33346,3.7493,4,12463,60548,1044,12923,,,,,,,3.0,
4,Twilight Imperium: Fourth Edition,2017,233078,8.24315,4.3171,5,485,28412,1035,11288,,,3.0,,,,5.0,
5,Dune: Imperium,2020,316554,8.22503,3.046,6,5380,60462,1128,13341,,,,,,,6.0,
6,Terraforming Mars,2016,167791,8.21659,3.2598,7,5201,135228,1913,23088,,,,,,,7.0,
7,War of the Ring: Second Edition,2011,115746,8.18039,4.2156,8,395,34531,1367,11125,,,4.0,,,,,1.0
8,Gloomhaven: Jaws of the Lion,2020,291457,8.17417,3.6369,9,1739,73071,446,8005,,,6.0,,,,9.0,
9,Star Wars: Rebellion,2016,187645,8.17098,3.7419,10,311,49847,1452,13430,,,5.0,,,,,
10,Spirit Island,2017,162886,8.14653,4.0656,11,5666,75496,1792,21084,,,,,,,10.0,
11,Gaia Project,2017,220308,8.11947,4.3943,12,778,32792,1416,11858,,,,,,,8.0,
12,Twilight Struggle,2005,12333,8.07005,3.6068,13,405,67682,1307,12161,,,,,,,12.0,2.0
13,Through the Ages: A New Story of Civilization,2015,182028,8.06456,4.4365,14,878,36117,968,9306,,,,,,,11.0,
14,Great Western Trail,2016,193738,8.03519,3.7011,15,620,44764,1219,9940,,,,,,,13.0,
15,The Castles of Burgundy,2011,84876,8.01318,2.9821,16,3317,76829,1101,12227,,,,,,,16.0,
16,Scythe,2016,169786,7.99665,3.4454,17,1802,112047,1831,23356,,,,,,,20.0,
17,Eclipse: Second Dawn for the Galaxy,2020,246900,7.97301,3.6637,18,437,17493,914,7548,,,,,,,14.0,
18,7 Wonders Duel,2015,173346,7.97132,2.2281,19,4979,153883,915,10922,,,,,,,22.0,
19,Brass: Lancashire,2007,28720,7.96151,3.8564,20,317,31969,939,5988,,,,,,,17.0,
20,Nemesis,2018,167355,7.95572,3.4613,21,681,40387,1164,12746,,,12.0,,,,,
21,Clank! Legacy: Acquisitions Incorporated,2019,266507,7.94794,2.7153,22,528,16441,639,5827,,,8.0,,,,,
22,Concordia,2013,124361,7.94534,2.9956,23,778,45786,1573,11147,,,,,,,21.0,
23,A Feast for Odin,2016,177736,7.94371,3.8622,24,930,35918,2004,14450,,,,,,,19.0,
24,Wingspan,2019,266192,7.90878,2.4621,25,7654,141448,1371,18397,,,,2.0,,,35.0,
25,Terra Mystica,2012,120677,7.90132,3.9723,26,494,51698,1569,13773,,,,,,,25.0,
26,Arkham Horror: The Card Game,2016,205637,7.90051,3.5336,27,3219,74970,739,10260,,1.0,13.0,,,,,
27,Lost Ruins of Arnak,2020,312484,7.89983,2.9156,28,4334,64093,1091,12723,,,,,,,27.0,
28,Great Western Trail: Second Edition,2021,341169,7.89378,3.725,29,1075,17972,501,4111,,,,,,,18.0,
29,Root,2018,237182,7.88601,3.7989,30,2203,76774,1647,19828,,,,,,,31.0,12.0
30,Orléans,2014,164928,7.87324,3.0297,31,744,38226,1381,8516,,,,,,,26.0,
31,Frosthaven,2022,295770,7.86166,4.3477,32,2582,16617,303,5257,,,7.0,,,,15.0,
32,Too Many Bones,2017,192135,7.8564,3.8527,33,1011,19578,1455,11036,,,11.0,,,,23.0,
33,Mage Knight Board Game,2011,96848,7.85575,4.3607,34,282,45274,1194,12032,,,15.0,,,,33.0,
34,Everdell,2018,199792,7.85251,2.8152,35,2509,79637,1484,19269,,,,3.0,,,39.0,
35,Barrage,2019,251247,7.85063,4.1111,37,896,21119,864,6394,,,,,,,24.0,
36,The Crew: Mission Deep Sea,2021,324856,7.85075,2.0368,36,3009,33646,384,5041,,,,1.0,,,,
37,Viticulture Essential Edition,2015,183394,7.84422,2.8899,38,1478,66925,1474,12293,,,,,,,37.0,
38,Food Chain Magnate,2015,175914,7.8053,4.1971,39,303,24582,1555,9863,,,,,,,32.0,
39,Marvel Champions: The Card Game,2019,285774,7.79936,2.9213,40,5966,39167,564,5571,,3.0,,,,,,
40,Pax Pamir: Second Edition,2019,256960,7.79428,3.8484,41,990,20043,890,5772,,,,,,,30.0,
41,Underwater Cities,2018,247763,7.7878,3.5982,42,807,25367,1094,7596,,,,,,,34.0,
42,Heat: Pedal to the Metal,2022,366013,7.78303,2.1962,43,6812,28412,1486,11255,,,,4.0,,,,
43,Puerto Rico,2002,3076,7.78129,3.2699,44,463,81229,952,9707,,,,,,,44.0,
44,Cascadia,2021,295947,7.77402,1.8395,45,5789,60098,1024,11755,1.0,,,6.0,,,,
45,Caverna: The Cave Farmers,2013,102794,7.76829,3.7795,46,468,44107,1665,11532,,,,,,,41.0,
46,Crokinole,1876,521,7.76249,1.2337,47,1541,16484,839,6170,,,,5.0,,,,
47,Blood Rage,2015,170216,7.76176,2.8784,48,707,55536,1504,13197,,,,,,,48.0,
48,Anachrony,2017,185343,7.75884,4.0152,49,483,23024,1025,8185,,,,,,,40.0,
