Name,Rating,Complexity,Year
"""7 Wonders""",7.68625,2.3167,2010
"""7 Wonders Duel""",8.09571,2.2271,2015
"""Ark Nova""",8.5374,3.7476,2021
"""Azul""",7.75471,1.7636,2017
"""Balderdash""",6.47023,1.4047,1984
"""Bananagrams""",6.39114,1.3034,2006
"""BANG! The Bullet!""",6.91805,1.8486,2007
"""Beyond the Sun""",7.94106,3.1293,2020
"""Blokus""",6.85783,1.7448,2000
"""Blood Rage""",7.93455,2.8795,2015
"""Camel Up""",7.0417,1.4736,2014
"""Cards Against Humanity""",5.76883,1.1815,2009
"""Clank!: A Deck-Building Adventure""",7.78205,2.2238,2016
"""Codenames""",7.54592,1.2614,2015
"""Cosmic Encounter""",7.52496,2.5846,2008
"""Dixit""",7.20402,1.1983,2008
"""Dominion""",7.59899,2.3473,2008
"""Dune: Imperium""",8.4293,3.0432,2020
"""Everdell""",8.03375,2.8165,2018
"""Forbidden Island""",6.7632,1.7369,2010
"""Fort""",7.1241,2.4267,2020
"""Furnace""",7.42144,2.3018,2020
"""Gaia Project""",8.38722,4.3933,2017
"""Galaxy Trucker""",7.34988,2.3299,2007
"""Gloomhaven""",8.59921,3.9051,2017
"""Kingdomino""",7.31298,1.222,2016
"""Labyrinth""",4.65196,1.3048,1940
"""Oath: Chronicles of Empire & Exile""",7.80599,4.1002,2021
"""Pachisi""",4.51438,1.1875,400
"""Pandemic""",7.53979,2.4013,2008
"""Pandemic Legacy: Season 1""",8.53054,2.8323,2015
"""PARKS""",7.67701,2.1301,2019
"""Patchwork""",7.59887,1.6053,2014
"""Pendulum""",6.44971,2.8986,2020
"""The Resistance: Avalon""",7.51956,1.7372,2012
"""Root""",8.07416,3.794,2018
"""Say Anything""",6.70515,1.0906,2008
"""Scythe""",8.15107,3.4434,2016
"""The Settlers of Catan""",7.08565,2.4348,2008
"""Spirit Island""",8.34798,4.0652,2017
"""Splendor""",7.42303,1.7815,2014
"""Sushi Go Party!""",7.39955,1.3018,2016
"""Sushi Go!""",7.00705,1.1594,2013
"""Terraforming Mars""",8.36398,3.2592,2016
"""Ticket to Ride""",7.39373,1.831,2004
"""Vast: The Crystal Caverns""",7.11397,3.6498,2016
"""Wavelength""",7.28224,1.1182,2019
"""Wingspan""",8.05913,2.4623,2019
"""Wits & Wagers""",6.92451,1.2084,2005
"""Yspahan""",7.06231,2.3705,2006
